Round,Total profit,Profit per km
424,17098916,67.46438562088925
425,17120668,67.2303058623953
426,17142420,66.99843275502906
427,17173557,66.83852324074398
428,17171612,66.72992655345277
429,17170867,66.68841730781928
430,17241598,66.82349612622424
431,17239653,66.71537425601572
432,17238908,66.67404614105315
433,17271585,66.52845400058548
434,17304262,66.38404259808416
435,17302682,66.29761097381076
436,17378766,66.4707056798623
437,17378021,66.42999782109258
438,17376441,66.34381765076456
439,17439253,66.41981482398376
440,17463278,66.21499529832863
441,17460323,66.0557680448838
442,17496666,65.9420428591888
443,17567177,66.07306817113304
444,17654186,66.32149847290104
445,17652606,66.23693186295294
446,17651026,66.15256555844137
447,17649446,66.06839884853953
448,17647866,65.98443102578004
449,17646286,65.90066138603508
450,17717017,66.03213831813319
451,17715072,65.9293035303575
452,17714327,65.88999319315447
453,17785058,66.02096627503387
454,17859529,66.17777687199857
455,17895872,66.06592611461205
456,17932215,65.95490389354362
457,17985055,65.95953687268033
458,17983475,65.87739574480555
459,18053986,66.00488437985558
460,18052861,65.94652420091325
461,18051281,65.86472236614539
462,18049701,65.78310895029557
463,18088170,65.6891705403835
464,18149809,65.75493620073762
465,18236818,65.9946080524575
466,18289658,65.99905456120092
467,18287328,65.87986425828392
468,18285748,65.79926736763319
469,18361832,65.96267517342214
470,18361087,65.9247116862227
471,18448096,66.1620473977162
472,18541777,66.44440741497257
473,18612288,66.5680298142333
474,18688298,66.72866916133455
475,18753383,66.81434307518553
476,18804097,66.80200717609861
477,18857084,66.8051298402239
478,18854144,66.65586265900204
479,18924655,66.77742335011767
480,18968110,66.71653025405456
481,19028209,66.7675197900292
482,19066678,66.67370003846557
483,19153687,66.90402953689667
484,19240696,67.133851124556
485,19288257,67.09985876099299
486,19348356,67.14938276318027
487,19347376,67.1003381483344
488,19345046,66.9839993628831
489,19415777,67.10390579907997
490,19463338,67.07032216490404
491,19461758,66.99192796092376
492,19561012,67.2990662565627
493,19642668,67.48967692503273
494,19690229,67.45516116765616
495,19737790,67.42084678314632
496,19768927,67.27946486609741
497,19792952,67.0929330730014
498,19839267,67.05196042977028
499,19875610,66.94694259749534
500,19928450,66.94858029751266
501,19966919,66.85814978268586
502,20019393,66.85767099818658
503,20043418,66.67626277411114
504,20040478,66.53633514389301
505,20073155,66.41176431664863
506,20140000,66.502885974297
507,20137670,66.39303023309485
508,20136090,66.31872764519508
509,20229771,66.57793128869083
510,20276086,66.53961971895696
511,20322401,66.50152654020216
512,20368716,66.46364989036233
513,20400366,66.33510332157316
514,20474837,66.47199550681445
515,20550847,66.6179786571925
516,20650101,66.9074057873813
517,20731757,67.08741982875227
518,20779318,67.05601523170259
519,20777738,66.98261099433907
520,20848249,67.09290815062255
521,20847124,67.04074452827034
522,20923208,67.18495185067448
523,20922463,67.1504319973297
524,21021717,67.43673750902238
525,21077857,67.45734521317792
526,21074917,67.32124900175691
527,21174171,67.60612581777082
528,21195923,67.41598575086275
529,21262768,67.50170795819629
530,21315608,67.50187790156376
531,21363169,67.47002513959423
532,21361224,67.38110093653101
533,21411938,67.36872939162828
534,21433910,67.18356920087137
535,21432785,67.13269748794086
536,21526466,67.37864375479288
537,21525341,67.32770635888774
538,21612350,67.53310668508183
539,21682861,67.63909260778559
540,21754839,67.75350994119992
541,21776591,67.56747255611336
542,21809268,67.4476590454336
543,21807688,67.3769275211869
544,21901369,67.61935768713028
545,21923341,67.43672157369384
546,21975815,67.43488440601199
547,22008492,67.31681445162553
548,22041169,67.19950548177417
549,22093643,67.19825234273061
550,22115615,67.01985841823593
551,22186126,67.12349066793332
552,22184546,67.05460293855394
553,22223015,66.97290105207325
554,22244987,66.79694856827136
555,22243862,66.74847336376104
556,22282331,66.66825540725316
557,22335318,66.67119791526744
558,22332378,66.54562195503509
559,22402889,66.64828819287432
560,22401764,66.60036092174776
561,22454604,66.6026107616056
562,22519689,66.67403584815163
563,22601345,66.83881566301046
564,22644800,66.78759028717886
565,22681143,66.69668944669239
566,22678813,66.59857574956685
567,22749544,66.70090421851361
568,22824015,66.82383510708378
569,22821685,66.7259758903693
570,22854362,66.6156442558252
571,22851407,66.49248841181486
572,22887750,66.40366605159628
573,22959728,66.51195694052961
574,22981480,66.34318986844802
575,23012617,66.22697931685474
576,23083348,66.32783842261486
577,23116025,66.22060811972177
578,23140050,66.06704905910333
579,23207408,66.14906722533385
580,23303215,66.38506285769633
581,23355689,66.38571363602772
582,23388366,66.27946439957492
583,23386786,66.21569066029429
584,23480467,66.43860775969395
585,23516810,66.35238119422272
586,23514480,66.25868933666582
587,23601489,66.44469813206459
588,23599909,66.38119548493619
589,23670640,66.47954412049688
590,23718201,66.45373242218692
591,23771041,66.45617355568291
592,23768711,66.36320258207901
593,23767131,66.30029541644234
594,23829943,66.35593654541759
595,23882930,66.35935238105823
596,23933644,66.3507487926723
597,23932899,66.3212881342781
598,24019908,66.5041655245737
599,24018328,66.44166032725211
600,24016748,66.37926431203032
601,24015168,66.3169771930842
602,24047845,66.21394389620689
603,24071870,66.06635214170639
604,24103520,65.95933557726514
605,24151081,65.93539712354348
606,24213893,65.9904968250075
607,24245543,65.88444868356336
608,24327199,66.03653465077771
609,24408855,66.1882997676115
610,24452310,66.14292013016346
611,24451185,66.09964748563179
612,24544866,66.31256365851748
613,24566838,66.15690657130085
614,24619825,66.16062742863899
615,24616885,66.04836199726329
616,24615305,65.98817508699126
617,24668145,65.99148493344177
618,24704488,65.91115083441164
619,24703363,65.86860868174061
620,24766175,65.92253903525817
621,24763235,65.81170902055418
622,24761655,65.7522902891739
623,24824467,65.80619824194933
624,24821527,65.69600395951554
625,24892258,65.78952960392428
626,24935713,65.74625334852033
627,24972056,65.66772290870651
628,24969726,65.58123153291574
629,25040457,65.67420262639561
630,25038512,65.6021714980402
631,25120168,65.74910289194658
632,25118223,65.67714211007974
633,25190201,65.77574019964958
634,25189076,65.73418302905041
635,25251888,65.78719368906998
636,25319246,65.86247028036605
637,25316916,65.77667501532898
638,25349593,65.6811988112419
639,25371345,65.53278402706925
640,25393097,65.38529100501853
641,25424234,65.28425247599752
642,25455371,65.18377176921875
643,25488048,65.09126755096099
644,25558779,65.18234331007467
645,25556834,65.11278697379115
646,25628812,65.20961167568228
647,25700790,65.30618001082473
648,25722542,65.16176608427128
649,25753679,65.06296690220728
650,25785329,64.96714269157314
651,25816979,64.8718342383452
652,25860434,64.8327788627629
653,25930945,64.92149867307596
654,25929365,64.86622420797727
655,25976926,64.84666616740309
656,25974981,64.77890612725355
657,26046959,64.87411955168119
658,26083302,64.80210778942975
659,26080972,64.72138828159703
660,26079392,64.66675758575116
661,26077812,64.61221243542573
662,26148323,64.70019003033558
663,26147198,64.66140746987297
664,26194759,64.64250478129435
665,26192814,64.57571484218987
666,26257899,64.63816960384413
667,26255569,64.55837667047787
